FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,terrain,etablissment_tutelle_autre,sport,terrain_sport,geometry
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cae,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Lycée Agoe,Dans une école,Nsp,2,"{Football,Basketball}","MULTIPOLYGON (((1.1941046104370878 6.2219026939848865, 1.1941046104370878 6.2219026939848865, 1.194063563587264 6.222403235910359, 1.194605382004937 6.222438600267497, 1.1946573746813802 6.2219162956739416, 1.1941046104370878 6.2219026939848865)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cad,Maritime,Golfe,Golfe 3,Bè-Ouest,Université De Lome,Dans une école,Nsp,1,{Basketball},"MULTIPOLYGON (((1.2114376509710172 6.186464634037685, 1.2115223914570785 6.186509766354815, 1.2116358831794816 6.186309679719544, 1.2115466030245245 6.1862765826748305, 1.2114376509710172 6.186464634037685)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cac,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.218115272545411 6.170760055973319, 1.2181540349787732 6.171787730760597, 1.2176070539746613 6.171826268526346, 1.217555370730178 6.170798593813809, 1.218115272545411 6.170760055973319)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cab,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Dans une école,Nsp,1,{Basketball},"MULTIPOLYGON (((1.2170722177575475 6.16967559951852, 1.2172418433350822 6.169615902841331, 1.2171382666549933 6.1693144345188085, 1.216962636632232 6.169383085736044, 1.2170722177575475 6.16967559951852)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-caa,Maritime,Golfe,Golfe 3,Bè-Ouest,Campus Sud,Dans une école,Nsp,3,"{Handball,autre}","MULTIPOLYGON (((1.2163370288043225 6.169722777559816, 1.2165417354936572 6.169746613352881, 1.216589684808276 6.169365240535196, 1.2163831339145328 6.169341404724979, 1.2163370288043225 6.169722777559816)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca9,Maritime,Golfe,Golfe 3,Bè-Ouest,Campus ,Dans une école,Nsp,1,{Volleyball},"MULTIPOLYGON (((1.211596805079803 6.186165076820809, 1.2116877400348869 6.1862083695659225, 1.2117684287978487 6.186023738716491, 1.2116800553907952 6.185985539222351, 1.211596805079803 6.186165076820809)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca8,Maritime,Avé,Avé 2,Badja,Agove,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.9802931497151155 6.344604362820731, 0.9806382250238964 6.345031745810651, 0.981612399164839 6.344577981143073, 0.9812779415578669 6.344010774746698, 0.9802931497151155 6.344604362820731)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca7,Maritime,Yoto,Yoto 1,Amoussimé,Amegnonakondji,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.4948183333333334 6.645868333333334, 1.495096666666667 6.646235, 1.4946133333333331 6.64686, 1.4943295969934638 6.646454349819698, 1.4948183333333334 6.645868333333334)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca6,Maritime,Yoto,Yoto 1,Amoussimé,Aklobi Kondji,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.502196551302796 6.635614687518103, 1.5019844896689505 6.63507834906382, 1.5024210871503996 6.634920810594996, 1.5026153284788812 6.635451838940264, 1.502196551302796 6.635614687518103)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca5,Maritime,Yoto,Yoto 1,Tabligbo,Kpokpokondi,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.51038 6.604786666666667, 1.5104071822113405 6.604951480963401, 1.5098907201958687 6.605010249579865, 1.5098715327525694 6.604857768830817, 1.51038 6.604786666666667)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca4,Maritime,Avé,Avé 1,Kévé,Apeyeme,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.9221216666666667 6.441013333333332, 0.9216983622892667 6.441503016935917, 0.9221418088471066 6.441820860604189, 0.9225343680950306 6.4413729899233365, 0.9221199999999997 6.441019027331425, 0.9221216666666667 6.441013333333332)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca3,Maritime,Avé,Avé 1,Kévé,Latin,Dans une école,Nsp,4,"{Football,Basketball,Volleyball,Atheltisme}","MULTIPOLYGON (((0.9224472579568109 6.4367202168860125, 0.9219430130505182 6.436406505723403, 0.9219430130505182 6.436406505723403, 0.9224341037418643 6.4355786558917405, 0.9229646570780508 6.435979509662932, 0.9224472579568109 6.4367202168860125)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca2,Maritime,Avé,Avé 1,Kévé,Apeyeme,Dans une école,Nsp,3,"{Football,Atheltisme}","MULTIPOLYGON (((0.9202095471653069 6.4391680623599985, 0.9197102348779694 6.4388596370101965, 0.9204524558456333 6.437880720528464, 0.9209787579863407 6.438189146472927, 0.9202095471653071 6.439194881946777, 0.9202095471653069 6.4391680623599985)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca1,Maritime,Avé,Avé 2,Badja,Agoudza Badja,Dans une école,Nsp,2,"{Atheltisme,Football}","MULTIPOLYGON (((0.9965847172163205 6.399101774169737, 0.9971669636028122 6.399091797983479, 0.9969528040123783 6.398200591225043, 0.9964341362542964 6.398270424646575, 0.9965847172163205 6.399101774169737)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca0,Maritime,Avé,Avé 1,Tovégan,Hekpe,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.9245828278154443 6.618628920076947, 0.9250406727679545 6.61891133213419, 0.9242468286970698 6.619542174068266, 0.9238480605126257 6.619234088573251, 0.9245828278154443 6.618628920076947)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9f,Maritime,Avé,Avé 1,Tovégan,Hekpe,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.922245345064937 6.62014431293354, 0.9220044645096866 6.619790602773153, 0.9226380851006716 6.619410884230687, 0.9228475464530631 6.6198166108818155, 0.922245345064937 6.62014431293354)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9e,Maritime,Avé,Avé 1,Tovégan,Baka Kope,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.8947959270557956 6.656836913053508, 0.8949644047295993 6.656530645814712, 0.8941887716652966 6.656186489617369, 0.8940616187039353 6.6565085440478216, 0.8947959270557956 6.656836913053508)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9d,Maritime,Avé,Avé 1,Tovégan,Koudassi Gbogame,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.8521783333333333 6.618568333333333, 0.8526433333333333 6.618461666666667, 0.8529460312806239 6.619064317516749, 0.8524944555196037 6.619240251963223, 0.8521783333333333 6.618568333333333)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9c,Maritime,Avé,Avé 1,Assahoun,Attituwui,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.8916703056608632 6.518728836642023, 0.892234336859879 6.518887436038769, 0.8925181261424028 6.517956985528408, 0.8919576423094184 6.517780763646387, 0.8916703056608632 6.518728836642023)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9b,Maritime,Avé,Avé 1,Assahoun,Assahoun ,Dans une école,Nsp,1,{Basketball},"MULTIPOLYGON (((0.9059321635873033 6.461583971498073, 0.9060964000070719 6.461614417973542, 0.9059983484131802 6.46195785408991, 0.9058512710223426 6.461928625493339, 0.9059321635873033 6.461583971498073)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c9a,Maritime,Avé,Avé 1,Assahoun,Lycee,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.9062789025972279 6.461533692489682, 0.9060442932816254 6.46216346131207, 0.9070842778597438 6.4624766057385346, 0.9073469002279558 6.461860754848887, 0.9062789025972279 6.461533692489682)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c99,Maritime,Avé,Avé 1,Assahoun,Assahoun Ville Ii,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.90306 6.4519366666666675, 0.9032866666666667 6.452325, 0.9032866666666667 6.452325, 0.9036835812431168 6.452009427919756, 0.9033316666666666 6.4516866666666655, 0.90306 6.4519366666666675)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c98,Maritime,Avé,Avé 2,Aképé,Yidave,Dans une école,Nsp,1,"{Football,autre}","MULTIPOLYGON (((1.0807904923860105 6.201282159529646, 1.0802776090952557 6.201216790015562, 1.0803532265035078 6.200822938521717, 1.0808365203736425 6.2009258955796245, 1.0807904923860105 6.201282159529646)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c97,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Attidjin,Dans une école,Nsp,3,"{Football,Atheltisme}","MULTIPOLYGON (((1.1000366666666668 6.239496666666668, 1.1005150000000001 6.239211666666667, 1.1009116666666665 6.239931666666666, 1.1004066666666668 6.240193333333334, 1.1000366666666668 6.239496666666668)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c96,Maritime,Avé,Avé 1,Kévé,Seve-kpota,Dans une école,Nsp,1,{autre},"MULTIPOLYGON (((0.9616973703025443 6.436895634025849, 0.9620605502254466 6.436989117678242, 0.9622793333115321 6.436091239096543, 0.9619161533886302 6.435991233151428, 0.9616973703025443 6.436895634025849)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c95,Maritime,Avé,Avé 1,Kévé,Zogbepime,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.9805413634004436 6.4460100585285804, 0.9801945988581471 6.445902379665041, 0.9801223562451686 6.446437184462067, 0.9804510601342206 6.446447952338095, 0.9805413634004436 6.4460100585285804)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c94,Maritime,Avé,Avé 1,Kévé,Anyron ,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.9836449908066994 6.514250831912161, 0.9839781031038912 6.513828420200951, 0.9847560956400957 6.514523004218114, 0.9844361325125299 6.5149410605925135, 0.9836449908066994 6.514250831912161)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c93,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Nsp,Dans une école,Nsp,0,Nsp,"MULTIPOLYGON (((1.1552043764878746 6.219431775802487, 1.155569804429253 6.219121921684728, 1.155143471830978 6.218616182387631, 1.1547744612627233 6.218936721435198, 1.1552043764878746 6.219431775802487)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c92,Maritime,Avé,Avé 1,Ando,Ablave,Dans une école,Nsp,2,{Football},"MULTIPOLYGON (((0.7904291429800397 6.526672957480772, 0.7907392684838875 6.526557856814059, 0.7909192838625576 6.52701294698795, 0.7906180700111195 6.527110339772995, 0.7904291429800397 6.526672957480772)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c91,Maritime,Zio,Zio 1,Kpomé,Agome ,Dans une école,Nsp,3,{Football},"MULTIPOLYGON (((1.3378377129618868 6.332873304124939, 1.3383262992266456 6.333699864874855, 1.3377883345627883 6.33403048880424, 1.337237375583379 6.333240090621052, 1.3378377129618868 6.332873304124939)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c90,Maritime,Avé,Avé 2,Badja,Meduime,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.0937833333333333 6.410838333333333, 1.0932966666666668 6.411128333333333, 1.0932966666666668 6.411128333333333, 1.0932966666666668 6.411128333333333, 1.0930066666666667 6.410433333333333, 1.093525 6.410241666666667, 1.0937833333333333 6.410838333333333)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8f,Maritime,Avé,Avé 1,Tovégan,Agbledo,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.9612976617848148 6.551320806106132, 0.9615876138609526 6.5514274537836705, 0.9617170962766328 6.551033846778106, 0.9614470645721377 6.550925000093268, 0.9612976617848148 6.551320806106132)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8e,Maritime,Vo,Vo 3,Dagbati,Vo Asso,Dans une école,Nsp,2,{Football},"MULTIPOLYGON (((1.4762209377708413 6.487428236005777, 1.4753474269663214 6.4873209554207865, 1.4753739774467016 6.486742343347278, 1.4762696136515383 6.486868969754504, 1.4762209377708413 6.487428236005777)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8d,Maritime,Avé,Avé 1,Tovégan,Dzidokpui,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.9068744635441429 6.55886960814072, 0.9071467294953366 6.558422079907443, 0.9064140865721251 6.558173726154043, 0.9061913235211485 6.558576993572133, 0.9068744635441429 6.55886960814072)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8c,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Nsp,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.5866678249682864 6.4342875083112725, 1.5866517713951152 6.433607933389938, 1.5872200678853712 6.433617504874012, 1.587229700029274 6.4343002702729315, 1.5866678249682864 6.4342875083112725)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8b,Maritime,Vo,Vo 1,Vogan,Wogab,Dans une école,Nsp,1,{Atheltisme},"MULTIPOLYGON (((1.5101200000000001 6.2872016666666655, 1.5100556142462371 6.287093647910759, 1.5103184492410506 6.286941103482229, 1.510396946940844 6.2870699772265075, 1.5101200000000001 6.2872016666666655)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c8a,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Emon-kpota ,Dans une école,Nsp,2,{Football},"MULTIPOLYGON (((1.5618283333333332 6.554341666666666, 1.5623733333333334 6.5541849999999995, 1.5623733333333334 6.5541849999999995, 1.5626016666666667 6.554524999999999, 1.5619399999999999 6.55472, 1.5618283333333332 6.554341666666666)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c89,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,Dzrekpo-centre,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.6081328782248363 6.416761796098757, 1.6081705863013127 6.416382669050999, 1.6074962771690269 6.416457612792114, 1.607518458390484 6.416836739784103, 1.6081328782248363 6.416761796098757)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c88,Maritime,Vo,Vo 1,Vogan,Sagada 2,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((1.5189252971678053 6.345855155657031, 1.5186423110293286 6.346306467176982, 1.5177407040299953 6.345727611025391, 1.5180138185589904 6.345282839755209, 1.5189252971678053 6.345855155657031)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c87,Maritime,Vo,Vo 1,Vogan,Lycee Kpota,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((1.5251283333333334 6.3248898967695775, 1.5252113135813767 6.32492896395067, 1.5252753685096903 6.324784270672585, 1.525186565086346 6.324752438145972, 1.5251283333333334 6.3248898967695775)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c86,Plateaux,Kloto,Kloto 3,Kouma,Kuma -dovota,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.5956754779753966 7.0066878824325896, 0.5954715871080809 7.006792555624594, 0.5953204266374849 7.006480280532251, 0.5955295905444725 7.006368629051822, 0.5956754779753966 7.0066878824325896)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c85,Maritime,Vo,Vo 1,Vo-Koutimé,Atsou Kope,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.5794116666666667 6.3518349999999995, 1.5789047515884511 6.3518580065654495, 1.5787187275041907 6.351027302648863, 1.5793354100848893 6.350936127747105, 1.5794116666666667 6.3518349999999995)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c84,Savanes,Cinkassé,Cinkassé 1,Boadé,Wouriwouri ,Dans une école,Nsp,3,"{Football,Atheltisme}","MULTIPOLYGON (((-0.0341225659535008 11.118416182690853, -0.0342571821070647 11.117549344012902, -0.033648604912828 11.117541088394056, -0.033570078823249 11.118377656582116, -0.0341225659535008 11.118416182690853)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c83,Maritime,Lacs,Lacs 1,Glidji,Chez Nous,Dans une école,Nsp,1,{Volleyball},"MULTIPOLYGON (((1.607141755129308 6.255943423687626, 1.6072774806754844 6.255924598016686, 1.6072538076151048 6.255690845879395, 1.607121238476979 6.255714377978485, 1.607141755129308 6.255943423687626)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c82,Centrale,Blitta,Blitta 1,Waragni,Nsp,Dans une école,Nsp,3,{Football},"MULTIPOLYGON (((0.979074125574099 8.242286989295682, 0.9792859040364889 8.242435829209114, 0.9789728402225212 8.242891461249016, 0.9787365077355064 8.242727433775118, 0.979074125574099 8.242286989295682)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c81,Maritime,Lacs,Lacs 1,Glidji,Nsp,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.5989622149257896 6.271466939673831, 1.598792819749619 6.271198952262989, 1.5983347370196936 6.271504884782821, 1.5984898171105537 6.271730183810549, 1.5989622149257896 6.271466939673831)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c80,Maritime,Zio,Zio 3,Gamé-Sèva,Ayakope,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.1080487917308999 6.78867624208635, 1.1082798378373122 6.789082517506907, 1.1082798378373122 6.789082517506907, 1.1082798378373122 6.789082517506907, 1.1074952437676207 6.789512691107794, 1.1072641976612083 6.789077737798068, 1.1080487917308999 6.78867624208635)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7f,Maritime,Golfe,Golfe 4,Amoutivé,Nsp,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((1.1952767824877089 6.156001041316266, 1.1955343949613253 6.15626577753921, 1.1953460564301936 6.156437963629658, 1.1950440653371723 6.156205512394366, 1.1952767824877089 6.156001041316266)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7e,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Tontame,Dans une école,Nsp,1,{Atheltisme},"MULTIPOLYGON (((1.6392069930169335 6.514402242944683, 1.639334145290033 6.5142473497643865, 1.6391815625623136 6.514159467087638, 1.6390539784526015 6.5143287397662455, 1.6392069930169335 6.514402242944683)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7d,Plateaux,Ogou,Ogou 4,Ountivou,Koyohoe Hetre ,Dans une école,Nsp,0,Nsp,"MULTIPOLYGON (((1.4824206346320579 7.310097575286985, 1.4824206346320579 7.310097575286985, 1.4824669254582206 7.309717023800877, 1.4831620749123935 7.30978517204066, 1.4830731604473248 7.310218113556416, 1.4824206346320579 7.310097575286985)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7c,Plateaux,Amou,Amou 3,Evou,Nsp,Dans une école,Nsp,0,Nsp,"MULTIPOLYGON (((1.025706301913618 7.547053968118629, 1.025231412899619 7.5469370399550035, 1.0250883492474783 7.547824982973266, 1.025554861156632 7.547898978142485, 1.025706301913618 7.547053968118629)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7b,Plateaux,Agou,Agou 1,Gadja,Zozokodzi,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.8495562269647372 6.818462563374433, 0.8491411271478437 6.818673671688283, 0.8491411271478437 6.818673671688283, 0.8487395265119874 6.817963275087456, 0.8491681255099183 6.817742113666572, 0.8495562269647372 6.818462563374433)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c7a,Savanes,Kpendjal,Kpendjal 1,Tambigou,Nsp,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.7796033333333334 10.749223333333335, 0.77913 10.749221666666665, 0.7790916666666666 10.749830000000001, 0.7796183333333333 10.749845, 0.7796033333333334 10.749223333333335)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c79,Plateaux,Akébou,Akébou 1,Yalla,Foto Yeye,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((0.6246461908771529 7.78849444314972, 0.6246492387293072 7.788310239216732, 0.6242865443229261 7.788267962892814, 0.6240122376290241 7.788385732641687, 0.6240731946721135 7.788545778657595, 0.6246461908771529 7.78849444314972)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c78,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.7965543059083572 7.664968253262159, 0.7968069361786737 7.665076148796625, 0.7970246727652447 7.664622434057149, 0.796730170074434 7.66452491299056, 0.7965543059083572 7.664968253262159)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c77,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,Dans une école,Nsp,0,"{Football,Atheltisme}","MULTIPOLYGON (((0.7933800608257298 7.649444712789641, 0.7931685119521547 7.6489386214009905, 0.7921545363167425 7.649553160866245, 0.7925163578384434 7.650008642486903, 0.7933800608257298 7.649444712789641)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c76,Plateaux,Haho,Haho 1,Notsé,Nsp,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((1.1769996214685192 6.954593595047221, 1.1773655532989522 6.955232015478642, 1.177831284719504 6.9549568343646095, 1.1774708973107437 6.954318413559157, 1.1769996214685192 6.954593595047221)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c75,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Dereboua,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.02586 8.569131666666667, 1.0257933333333333 8.5687, 1.0257933333333333 8.5687, 1.0257933333333333 8.5687, 1.0250783333333333 8.568781666666666, 1.02512 8.569188333333333, 1.02586 8.569131666666667)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c74,Centrale,Tchaoudjo,Tchaoudjo 4,Kpassaouade,Laworo,Dans une école,Nsp,0,Nsp,"MULTIPOLYGON (((1.2900166666666666 9.056551666666667, 1.2903633333333335 9.056379999999999, 1.2904816666666665 9.056645, 1.290148885078626 9.056804155398941, 1.2900166666666666 9.056551666666667)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c73,Centrale,Tchaoudjo,Tchaoudjo 4,Kpassaouade,Bande,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.3634733333333333 9.035838333333334, 1.3627116666666665 9.036136666666666, 1.3625283333333333 9.035505, 1.36322 9.035266666666667, 1.3634733333333333 9.035838333333334)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c72,Maritime,Yoto,Yoto 2,Zafi,Tchrami,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.374659814517103 6.626241071532421, 1.3750444203953058 6.626410194477848, 1.375200999072993 6.626041747986573, 1.374881760992271 6.625865074776324, 1.374659814517103 6.626241071532421)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c71,Maritime,Yoto,Yoto 2,Ahépé,Kpokli,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.3796912603566704 6.6077241933321265, 1.380167091274881 6.607934937916864, 1.380167091274881 6.607934937916864, 1.3799094758096075 6.608639426305437, 1.3793699987176233 6.608368469351669, 1.3796912603566704 6.6077241933321265)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c70,Maritime,Yoto,Yoto 2,Ahépé,Kpowla,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.3899033333333333 6.601231666666666, 1.3904891615768171 6.600635074859613, 1.3908911843606613 6.601035954355936, 1.3903017398732107 6.601639015237634, 1.3899033333333333 6.601231666666666)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6f,Maritime,Yoto,Yoto 1,Amoussimé,Tona-kondji ,Dans une école,Nsp,2,{Football},"MULTIPOLYGON (((1.53255 6.643766666666666, 1.5323566666666664 6.643398333333333, 1.5328083333333336 6.642963333333334, 1.5331549999999998 6.643308333333333, 1.53255 6.643766666666666)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6e,Maritime,Yoto,Yoto 3,Gboto,Gboto Zeve,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((1.4786383844984723 6.703871865351354, 1.478760617683991 6.703688623885569, 1.4783431798240123 6.703372532195201, 1.4782094152058978 6.703592422088459, 1.4786383844984723 6.703871865351354)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6d,Maritime,Vo,Vo 3,Dagbati,Kpessekope,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.4473612613892959 6.537780847829614, 1.4469500534356972 6.537786506193371, 1.4469466361950858 6.537164085796159, 1.4473521487476653 6.5371482423577545, 1.4473612613892959 6.537780847829614)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6c,Maritime,Yoto,Yoto 2,Ahépé,Agbleta,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.4054893640062813 6.606649391666194, 1.4053919889822564 6.606142462953481, 1.4044200419831971 6.606441604694832, 1.404570425304365 6.606955808060736, 1.4054893640062813 6.606649391666194)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6b,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.3547999004089988 6.532499748621142, 1.3539939249489477 6.532870091960337, 1.3537151917690131 6.532272871485155, 1.3544808684560619 6.53188250911335, 1.3547999004089988 6.532499748621142)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c6a,Maritime,Yoto,Yoto 3,Tokpli,Nsp,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.5936673935642365 6.66254069939364, 1.5940612358138975 6.662535909403566, 1.5940805260465338 6.6618190070284635, 1.5936706086030086 6.661820603694161, 1.5936673935642365 6.66254069939364)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c69,Maritime,Yoto,Yoto 1,Kouvé,Gado,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.412750391840775 6.6589768121787065, 1.4128431778575303 6.658709735968027, 1.412638669902233 6.658662715493352, 1.412575234564247 6.658928851320592, 1.412750391840775 6.6589768121787065)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c68,Maritime,Vo,Vo 4,Akoumapé,Gougoume,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.410106138286729 6.487944198929418, 1.4103080285486118 6.487649597807288, 1.4097875443962014 6.487214011421265, 1.4095619747523096 6.487514596183147, 1.410106138286729 6.487944198929418)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c67,Maritime,Bas-Mono,Bas-Mono 2,Hompou,Ahansigle,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.6992292845308907 6.393068903634865, 1.6996552845025645 6.393015738642052, 1.6995106426517175 6.392383665526237, 1.6990747357039582 6.3924663667259995, 1.6992292845308907 6.393068903634865)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-c66,Centrale,Sotouboua,Sotouboua 2,Tittigbe,Tittigbe,Dans une école,Nsp,0,Nsp,"MULTIPOLYGON (((1.10733416327448 8.616778205916534, 1.1072282675637573 8.617498544107058, 1.108050018278965 8.61773307252409, 1.1082533380435522 8.616958290592825, 1.10733416327448 8.616778205916534)))"
