FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,batiment_nom,batiment_fonction,batiment_annee,geometry
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ace,Savanes,Cinkassé,Cinkassé 1,Boadé,Bâtiment 5,Cantine,2020,"MULTIPOLYGON (((-0.0145644852055932 11.115721185812447, -0.0146442783384506 11.115720680675693, -0.0146411895720165 11.11564036391959, -0.0145629408223776 11.115641879330289, -0.0145644852055932 11.115721185812447)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2acf,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Bâtiment 2,Dépôt/magasin,2009,"MULTIPOLYGON (((0.0275055459664228 11.108967911852567, 0.0275847396538117 11.108954534249701, 0.0275677943990244 11.108882659475812, 0.0274858012307058 11.108906260149785, 0.0275055459664228 11.108967911852567)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad0,Plateaux,Danyi,Danyi 2,Ahlon,Bâtiment 1,Salle de classe,1995,"MULTIPOLYGON (((0.6356809938298263 7.2216204864840305, 0.635671394887571 7.221590330958952, 0.6357945813131872 7.221555414032667, 0.6358025804317341 7.2215839824270995, 0.6356809938298263 7.2216204864840305)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad1,Plateaux,Danyi,Danyi 2,Ahlon,Bâtiment 2,Salle de classe,1995,"MULTIPOLYGON (((0.6358649999999998 7.221441666666665, 0.6358500000000005 7.221390000000001, 0.6359216666666668 7.221379999999998, 0.6359316666666666 7.221433333333334, 0.6358649999999998 7.221441666666665)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad2,Plateaux,Danyi,Danyi 2,Ahlon,Bâtiment 3,Salle de classe,2021,"MULTIPOLYGON (((0.6356483333333335 7.221806666666665, 0.6356933333333329 7.221779999999999, 0.6356933333333329 7.221779999999999, 0.6356520008814538 7.221654051328746, 0.6356088056413018 7.221681032584319, 0.6356483333333335 7.221806666666665)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad3,Plateaux,Kloto,Kloto 3,Kouma,Bâtiment 2,Salle de classe,Nsp,"MULTIPOLYGON (((0.596062032104404 7.0072643621810915, 0.596004532362582 7.007313442600861, 0.5959458826259245 7.007234685645697, 0.5959987823884001 7.007183322406901, 0.596062032104404 7.0072643621810915)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad4,Plateaux,Kloto,Kloto 3,Kouma,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((0.5956926080581478 7.006883281470031, 0.5957765907877007 7.0068067583773415, 0.5959858592285504 7.0071825413011775, 0.5958949926687082 7.007249498953992, 0.5956926080581478 7.006883281470031)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad5,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Bâtiment 3,N/a,2003,"MULTIPOLYGON (((0.6273595771069328 10.990485081938395, 0.6274453089213412 10.990492154156396, 0.6274486709532786 10.990420724746999, 0.6273617384131772 10.990418367340501, 0.6273595771069328 10.990485081938395)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad6,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Salle De Classe,Salle de classe,1971,"MULTIPOLYGON (((0.6273368394471389 10.9904790817434, 0.6273470174048843 10.99041199741, 0.6271003230957439 10.9903853539825, 0.6270949917845441 10.9904543414237, 0.6270949917845441 10.9904543414237, 0.6270949917845441 10.9904543414237, 0.6273368394471389 10.9904790817434)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad7,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Classe,Salle de classe,2018,"MULTIPOLYGON (((0.6144084116674854 10.981881058431098, 0.6144729937901338 10.981877232601498, 0.614467983108204 10.981801809094298, 0.6144056279553012 10.981810553849796, 0.6144084116674854 10.981881058431098)))"
