FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,batiment_nom,batiment_fonction,batiment_annee,geometry
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ad5,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau, dépôt/magasin",2018,"MULTIPOLYGON (((1.278994688096701 6.167238936086797, 1.2788857397233095 6.167284632673823, 1.2788636095849641 6.167225396356549, 1.2789751114358565 6.167184777163737, 1.278994688096701 6.167238936086797)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ad6,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",1992,"MULTIPOLYGON (((1.281186319436222 6.164219690251483, 1.2810983859400757 6.164218685365465, 1.2810913108311908 6.164508092460006, 1.2811801708983932 6.164508791371337, 1.281186319436222 6.164219690251483)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ad7,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,2002,"MULTIPOLYGON (((1.2816347217555117 6.164679117403373, 1.2818382827892005 6.164629645778114, 1.2818066177395153 6.16449472314032, 1.2816030567058276 6.164548692199557, 1.2816347217555117 6.164679117403373)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ad8,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 5,Salle de classe,2010,"MULTIPOLYGON (((1.2820545692283452 6.164015946124602, 1.2818286772212886 6.163956976386195, 1.2818483904902618 6.16387422377646, 1.282076188265066 6.163933021684703, 1.2820545692283452 6.164015946124602)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ad9,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 6,"Salle de classe, bureau, salle des professeurs , toilettes",1992,"MULTIPOLYGON (((1.2817832836818814 6.16395029860717, 1.281117996755738 6.163774447270005, 1.2811533272118973 6.16366658306131, 1.2818069728204193 6.1638526560720575, 1.2817832836818814 6.16395029860717)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ada,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 7,Salle de classe,2003,"MULTIPOLYGON (((1.2810893254127962 6.164162194621422, 1.2810908499374394 6.163922712334841, 1.2811899440392605 6.163921196623822, 1.281189944039261 6.164160678911088, 1.2810893254127962 6.164162194621422)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3adb,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,2015,"MULTIPOLYGON (((1.2786326188573105 6.162560788983651, 1.2786354760347691 6.162518178980661, 1.2788254783357718 6.162538063649148, 1.2788254783357715 6.162590615983703, 1.2786326188573105 6.162560788983651)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3adc,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Logement,2015,"MULTIPOLYGON (((1.2787085726223248 6.162584656975217, 1.278812859599567 6.1626017009746885, 1.278807145244649 6.1627124869579015, 1.2787271442758057 6.162703964960013, 1.2787357158081818 6.162655673636066, 1.2786971439124897 6.162631527972445, 1.2787071440335949 6.1625860773085295, 1.2787085726223248 6.162584656975217)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3add,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2021,"MULTIPOLYGON (((1.2823633982702065 6.163099396383877, 1.2824140240002144 6.163104639418138, 1.2824330086489684 6.162969369117633, 1.2823792188108338 6.162964126082034, 1.2823633982702065 6.163099396383877)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ade,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",2000,"MULTIPOLYGON (((1.2800187013050983 6.167212845590451, 1.2799081452339045 6.16725269022571, 1.2800131735015383 6.167546716062319, 1.2801264934745116 6.1675027495924475, 1.2800187013050983 6.167212845590451)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3adf,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,"Dépôt/magasin, surveillance",2000,"MULTIPOLYGON (((1.2799337146654577 6.167236173077113, 1.2800304512277525 6.167203198205738, 1.2799765551430453 6.1670905340464, 1.2798964019914296 6.167137248456834, 1.2799337146654577 6.167236173077113)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae0,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 4,Salle de classe,2000,"MULTIPOLYGON (((1.280286014891637 6.166984672217041, 1.2802605279890957 6.166905034063382, 1.2805141833524811 6.166816949424948, 1.2805420975790733 6.1669038274246, 1.280286014891637 6.166984672217041)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae1,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 5,Salle de classe,2000,"MULTIPOLYGON (((1.2807534533019265 6.167701776564146, 1.2808490694024273 6.167667316354388, 1.2805646115034386 6.166950781140576, 1.2804785570129882 6.166984053112238, 1.2807534533019265 6.167701776564146)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae2,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 6,Non fonctionnel,2010,"MULTIPOLYGON (((1.2808858770416132 6.167775519771578, 1.2808529197202096 6.1676750356768215, 1.2807870050774044 6.167695787828387, 1.2808144695119061 6.167795179700935, 1.2808144695119061 6.167795179700935, 1.2808144695119061 6.167795179700935, 1.2808858770416132 6.167775519771578)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae3,Maritime,Golfe,Golfe 1,Bè-Est,Direction,Administration,Nsp,"MULTIPOLYGON (((1.2817170067263493 6.176787851828465, 1.2817192599803142 6.176697124813986, 1.2817665783135699 6.176701605160742, 1.2817722114484804 6.176741928279871, 1.2817727747619718 6.176791772131211, 1.2817170067263493 6.176787851828465)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae4,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, administration, secrétariat surveillance",Nsp,"MULTIPOLYGON (((1.2817760662898217 6.176745272427462, 1.2818442272222494 6.176762073726084, 1.2818509869841423 6.176711109785285, 1.2817670532739633 6.176702709135231, 1.2817760662898217 6.176745272427462)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae5,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2009,"MULTIPOLYGON (((1.2781932737884754 6.159910779048742, 1.278208457573905 6.159613385428945, 1.2782828581225112 6.15961866907339, 1.2782752662297958 6.15991153385467, 1.2782752662297958 6.15991153385467, 1.2781932737884754 6.159910779048742)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae6,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2797617155316559 6.168172955725485, 1.279802691008472 6.168158263237454, 1.2798214994240587 6.168221708069211, 1.2797858977802687 6.1682337291943705, 1.2797617155316559 6.168172955725485)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae7,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2817169375536384 6.17684787217881, 1.281752327023071 6.17683028017017, 1.2818930001640658 6.176863704986081, 1.2818859222701786 6.176933193412408, 1.2817107443964884 6.176898009400217, 1.2817169375536384 6.17684787217881)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae8,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,Nsp,"MULTIPOLYGON (((1.2818487222262784 6.176847319300041, 1.2818979624005267 6.176854708630044, 1.281910040179114 6.176730013672423, 1.2818598709449758 6.17671985334125, 1.2818487222262784 6.176847319300041)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3ae9,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2799489752654427 6.167965580717683, 1.2797627135103005 6.168015041234435, 1.2797881038204963 6.168076045940748, 1.279964778062277 6.168031870119637, 1.2799489752654427 6.167965580717683)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aea,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2797130458373787 6.168042043641935, 1.279757133477006 6.1681614292944245, 1.279800641016112 6.168141820058667, 1.279760033979613 6.168027048340687, 1.2797130458373787 6.168042043641935)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aeb,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2798289602153843 6.168202516207772, 1.28002929884912 6.1681502917513455, 1.2800085429770247 6.168076245951965, 1.2798107517252928 6.168140580827426, 1.2798289602153843 6.168202516207772)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aec,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Administration,Nsp,"MULTIPOLYGON (((1.2799671703853113 6.168036944200887, 1.280012344930459 6.168023591677596, 1.279981821589142 6.16793983493292, 1.279939088911299 6.1679544013242475, 1.2799671703853113 6.168036944200887)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aed,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2796435413801848 6.1666924317828276, 1.2796387797686402 6.166668761488021, 1.2797342853234188 6.166634714707811, 1.2797415679122859 6.166664480999481, 1.2796435413801848 6.1666924317828276)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aee,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,1994,"MULTIPOLYGON (((1.2777872184640853 6.182171100780142, 1.2779836562433509 6.182278048250144, 1.2780132778132394 6.182211399829349, 1.2778137219739862 6.18212615183702, 1.2777872184640853 6.182171100780142)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aef,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",1990,"MULTIPOLYGON (((1.278070270711374 6.181218752815492, 1.2782476083251861 6.181294885217683, 1.278206296721968 6.181372019350834, 1.2780350047086275 6.181304902638209, 1.278070270711374 6.181218752815492)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af0,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Salle de classe,2003,"MULTIPOLYGON (((1.2781590071520867 6.181565135276074, 1.278196174668784 6.181483652668618, 1.2783543748680608 6.181558502971281, 1.2783153013248658 6.181639038095237, 1.2781590071520867 6.181565135276074)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af1,Maritime,Golfe,Golfe 1,Bè-Est,Epp Adakpame Nord Ga,Salle de classe,2014,"MULTIPOLYGON (((1.2777331642565062 6.1820260184446285, 1.277885371015924 6.182075768024507, 1.2780083874379184 6.181746176970635, 1.2778853710159226 6.181669479651914, 1.2777331642565062 6.1820260184446285)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af2,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,N/a,1990,"MULTIPOLYGON (((1.2783130899973352 6.181333072060639, 1.278264588075454 6.181308273235611, 1.2783491199964465 6.1811801459544355, 1.2784031649951149 6.181217344200554, 1.2783130899973352 6.181333072060639)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af3,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,1994,"MULTIPOLYGON (((1.2827930693767973 6.1662889427763, 1.2827807581796098 6.166342353546248, 1.2829743797353788 6.166361269859314, 1.2829788565343547 6.1663078590912725, 1.2827930693767973 6.1662889427763)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af4,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,1994,"MULTIPOLYGON (((1.2829705082067304 6.166379552906071, 1.2829877472085023 6.1663229933458465, 1.2827826030874212 6.166276717337539, 1.282770535786181 6.166340132607157, 1.2829705082067309 6.166377838980093, 1.2829705082067304 6.166379552906071)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af5,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Salle de classe,1994,"MULTIPOLYGON (((1.2827519138196595 6.166474843545254, 1.2827667473255393 6.166418802362018, 1.2828423982055233 6.1664527220262615, 1.282826081349056 6.166505813670289, 1.2827519138196595 6.166474843545254)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af6,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, administration, secrétariat , salle des professeurs salle informatique",Nsp,"MULTIPOLYGON (((1.2803446262134979 6.17774618695083, 1.280366719525956 6.1776742325930964, 1.2807285927472565 6.177805265258293, 1.2807072612731585 6.177874189941994, 1.2803461498902187 6.177748459193549, 1.2803446262134979 6.17774618695083)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af7,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",Nsp,"MULTIPOLYGON (((1.278513678786705 6.177411283777147, 1.2785503635614985 6.177425046706541, 1.278507449296645 6.177526892372945, 1.278281803323388 6.177428487438833, 1.278354480707412 6.177274342610171, 1.2784562290450467 6.177311502528331, 1.2784230050980634 6.177392703821898, 1.278499143309899 6.1774291755852895, 1.278513678786705 6.177411283777147)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af8,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, administration toilettes",2019,"MULTIPOLYGON (((1.280542432348328 6.177717607810456, 1.280733736326772 6.177800084830663, 1.2807810578654422 6.177701286688542, 1.28058112436456 6.17762954040711, 1.280542432348328 6.177717607810456)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3af9,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2006,"MULTIPOLYGON (((1.2566542919730743 6.152365018611385, 1.2567234460786176 6.15224639594345, 1.2567850008319037 6.152282662749193, 1.2567211662729403 6.152396752059462, 1.2566542919730743 6.152365018611385)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3afa,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2015,"MULTIPOLYGON (((1.2565917655944465 6.1524392059885225, 1.2566100446611648 6.152384684632986, 1.2563943516738898 6.152309808628939, 1.2563775349325084 6.152375234264127, 1.2565917655944465 6.1524392059885225)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3afb,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,1996,"MULTIPOLYGON (((1.2636700846984819 6.149303949512942, 1.2636838526556382 6.149206172802695, 1.2639670792028492 6.149313727182978, 1.263939543288537 6.149395859604183, 1.2636700846984819 6.149303949512942)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3afc,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,Nsp,"MULTIPOLYGON (((1.2649899912978253 6.154804586280027, 1.2649545404717875 6.154926346840259, 1.2649319808552175 6.154915132052984, 1.264886456040669 6.155065998335293, 1.2648406431756198 6.155050291862576, 1.2649196308739792 6.154781711107261, 1.2649899912978253 6.154804586280027)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3afd,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,1996,"MULTIPOLYGON (((1.263179172924423 6.153578601560229, 1.2632586890667674 6.153297025113461, 1.2633120629157375 6.153307854979558, 1.263232546773394 6.153597012322709, 1.263179172924423 6.153578601560229)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3afe,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,"Salle de classe, administration",2003,"MULTIPOLYGON (((1.2566787193868327 6.152099078599582, 1.2567342188100783 6.152108275232318, 1.2567469374279059 6.152046197958244, 1.2566081888697906 6.152018608056325, 1.2565966264899482 6.152122070181129, 1.2566544383891627 6.152161155867481, 1.2566602195790846 6.152108275232319, 1.2566787193868327 6.152099078599582)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3aff,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,2019,"MULTIPOLYGON (((1.2583878699494901 6.155221761463687, 1.2584621001683634 6.155242577492797, 1.2585020702862182 6.155096865271896, 1.258431646745236 6.155081726337562, 1.2583878699494901 6.155221761463687)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b00,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",2020,"MULTIPOLYGON (((1.2584016865880971 6.1550903375386055, 1.2583624165263638 6.155211518202443, 1.2583015096801096 6.155196379271377, 1.2583395764590184 6.1550752678073195, 1.2584016865880971 6.1550903375386055)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b01,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Bureau,2017,"MULTIPOLYGON (((1.254273551265823 6.153808405750336, 1.2543585359071727 6.153842203723324, 1.254347912827004 6.153862271268769, 1.2543879688480155 6.153878418560096, 1.254414170159766 6.153819233294268, 1.254288406296337 6.153767209694212, 1.254273551265823 6.153808405750336)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b02,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2020,"MULTIPOLYGON (((1.2548616666666665 6.154425000000001, 1.2549294293169646 6.154434728003325, 1.254879091348172 6.154581021692147, 1.2548190730007651 6.154550223024162, 1.2548616666666665 6.154425000000001)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b03,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Bureau,2000,"MULTIPOLYGON (((1.254796109501148 6.154470737082129, 1.2548096620312075 6.15443223873888, 1.2548406392427716 6.1544437882421485, 1.254827086712713 6.154478436750444, 1.254796109501148 6.154470737082129)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b04,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,1958,"MULTIPOLYGON (((1.2662372862663978 6.1485667935406205, 1.26623984560281 6.148411572072468, 1.2666083900461846 6.1484141166870625, 1.266595593364123 6.148569338154474, 1.2662372862663978 6.1485667935406205)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b05,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Salle de classe,1958,"MULTIPOLYGON (((1.266423333333333 6.14824, 1.2665016666666673 6.1482183333333325, 1.2665116666666671 6.148143333333332, 1.2664333333333337 6.148123333333333, 1.266423333333333 6.14824)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b06,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Salle de classe,1996,"MULTIPOLYGON (((1.2630530171930041 6.153493841136285, 1.2631060972349477 6.153502399116308, 1.2631491351067947 6.153277038929763, 1.2630960550648505 6.153272759937955, 1.2630530171930041 6.153493841136285)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b07,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,Administration,1999,"MULTIPOLYGON (((1.264979897536317 6.154944685872094, 1.2650588181013647 6.154974687437197, 1.2650092993154525 6.155093924409973, 1.2649326999434938 6.155067769205333, 1.264979897536317 6.154944685872094)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b08,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",1964,"MULTIPOLYGON (((1.2574300603761892 6.139249374547997, 1.257536956987074 6.139296922449783, 1.2576747973537414 6.138916539116652, 1.2575650876741489 6.138863397305843, 1.2574300603761892 6.139249374547997)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b09,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, dépôt/magasin",1963,"MULTIPOLYGON (((1.2575748708298324 6.138854713142509, 1.2576585867294878 6.138638654100251, 1.2577654580907511 6.138748454608088, 1.2576763986230324 6.138907842401774, 1.2575748708298324 6.138854713142509)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0a,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",1996,"MULTIPOLYGON (((1.26598474120677 6.139793551808715, 1.265973834558994 6.139866207181058, 1.2657731522399027 6.139851025462283, 1.265780786893347 6.139776201270569, 1.26598474120677 6.139793551808715)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0b,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,1996,"MULTIPOLYGON (((1.2656911893918923 6.139623930828153, 1.2656770107497821 6.139700923858876, 1.2658547891085425 6.1397312873045475, 1.26586024243243 6.139651041051509, 1.2656911893918923 6.139623930828153)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0c,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, bureau",Nsp,"MULTIPOLYGON (((1.2579316184512288 6.138974454725638, 1.2580076856589855 6.139008247296807, 1.2578668804020738 6.139346172890589, 1.2577972869992327 6.1393188170171635, 1.2579316184512288 6.138974454725638)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0d,Maritime,Golfe,Golfe 1,Bè-Est,La Perfection,Bâtiment scolaire,1997,"MULTIPOLYGON (((1.265936015799892 6.139662737710796, 1.2659325343882426 6.13971696697822, 1.2658803132134928 6.139718697699431, 1.2658797329782183 6.139659853175139, 1.265936015799892 6.139662737710796)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0e,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,N/a,Nsp,"MULTIPOLYGON (((1.2662117618458961 6.148385528571607, 1.2660903764871445 6.148387137733364, 1.266088758015695 6.148306679639471, 1.266216617260246 6.1483131162874285, 1.2662117618458961 6.148385528571607)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b0f,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,"Salle de classe, administration",2003,"MULTIPOLYGON (((1.2646463475605743 6.1519396100015555, 1.2647331914522644 6.151929742141403, 1.2647455977225053 6.15201361894688, 1.2649829710264588 6.1519979948370604, 1.2649813168570934 6.152108185917575, 1.2646637163389114 6.1521205207386025, 1.2646463475605743 6.1519396100015555)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b10,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Administration,2001,"MULTIPOLYGON (((1.2614841430874268 6.151170484383051, 1.2614964095045151 6.15112576646633, 1.2614473438361613 6.151110318457859, 1.2614318063745156 6.151150971110761, 1.2614841430874268 6.151170484383051)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b11,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 3,"Salle de classe, administration",Nsp,"MULTIPOLYGON (((1.2557343058057748 6.145250758218046, 1.2557638266215565 6.145138245347202, 1.2554698484977278 6.1450611984762755, 1.2554452478179094 6.145172488397368, 1.2557343058057748 6.145250758218046)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b12,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,2009,"MULTIPOLYGON (((1.2639949883314199 6.147142546068033, 1.2639699116516434 6.147211407235374, 1.2637418332784387 6.147166291299157, 1.263771686468648 6.14709268107922, 1.2639949883314199 6.147142546068033)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b13,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 4,Salle de classe,Nsp,"MULTIPOLYGON (((1.2557845880869944 6.145261522897511, 1.255875678851602 6.145286548079872, 1.2558900616039084 6.145234114363098, 1.2560338891269736 6.145278206352548, 1.2560195063746673 6.145327065039293, 1.2561046043258137 6.145359240269575, 1.2561777166500387 6.1451804889656, 1.2560818316346622 6.145151888751394, 1.2560662503196633 6.145193597396599, 1.2559068414816 6.145150697075766, 1.255912834295061 6.14508515491226, 1.2558205449677604 6.145074429830191, 1.2557845880869944 6.145261522897511)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b14,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 4,"Bureau, logement",1979,"MULTIPOLYGON (((1.2559813354389064 6.145418662390341, 1.256028625787747 6.145429348433397, 1.2560006814907054 6.14551376816599, 1.2559533911418637 6.145502013520485, 1.2559813354389064 6.145418662390341)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b15,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,Nsp,"MULTIPOLYGON (((1.2561946438411415 6.14563045156506, 1.256262818836285 6.145637229884361, 1.2562514563370943 6.145740034383173, 1.2561798725921942 6.145730996625834, 1.2561946438411415 6.14563045156506)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b16,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,1999,"MULTIPOLYGON (((1.2649896003838534 6.154954946708083, 1.2650558520607798 6.1549754197453606, 1.265097930828558 6.15484724071636, 1.2650307838587 6.154830328203279, 1.2649896003838534 6.154954946708083)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b17,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Salle de classe,Nsp,"MULTIPOLYGON (((1.2578655011439692 6.139341586254624, 1.2575886901618665 6.13922340582305, 1.257559855684564 6.139302405144097, 1.257842113179046 6.139418037193697, 1.2578655011439692 6.139341586254624)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b18,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 1,Salle de classe,2017,"MULTIPOLYGON (((1.2639816666666672 6.147133333333332, 1.2640258272132494 6.147064778360444, 1.264058027611799 6.147084902235608, 1.2640147870766034 6.1471535063497695, 1.2639816666666672 6.147133333333332)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_3b19,Maritime,Golfe,Golfe 1,Bè-Est,Bâtiment 2,Bureau,Nsp,"MULTIPOLYGON (((1.2620161453587768 6.138332059824529, 1.262074881566789 6.138354521151564, 1.2621110269255655 6.138249701617293, 1.2620492786043218 6.138230235130085, 1.2620161453587768 6.138332059824529)))"
