FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1bae,Plateaux,Wawa,Wawa 3,Zogbégan,Zogbegan,JEP Dzogbegan Gc,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Wawa-Est,Non,MEPSTA,POINT (0.6790458678216834 7.57017830711657)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1bad,Plateaux,Wawa,Wawa 3,Klabé-Efoukpa,Lomnava,JEP Efoukpa Annexe,BP82,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Wawa-Est,Non,MEPSTA,POINT (0.7369715145194903 7.60360476222561)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1bac,Centrale,Blitta,Blitta 2,Tcharè-Baou,Atikpai,JEP Atikpai,S/C 91273921,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.1384344048825046 8.087799108708627)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1bab,Plateaux,Wawa,Wawa 3,Zogbégan,Otandjobo,JEP Otandjobo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Wawa-Est,Non,MEPSTA,POINT (0.6970866666666681 7.581676666666658)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1baa,Plateaux,Wawa,Wawa 3,Klabé-Efoukpa,Ibi,JEP Klabe Efoukpa,Nsp,"{Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Wawa-Est,Non,MEPSTA,POINT (0.7647168405270641 7.600224999900845)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba9,Plateaux,Wawa,Wawa 3,Zogbégan,Klabe-soto,JEP Klabe-soto,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Wawa-Est,Non,MEPSTA,POINT (0.6814840951574983 7.604111217628352)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba8,Plateaux,Wawa,Wawa 3,Klabé-Efoukpa,Klabe apegame,JEDIL Klabe Apegame,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Wawa-Est,Non,MEPSTA,POINT (0.88517790473316 7.641486333824922)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba7,Centrale,Blitta,Blitta 1,Blitta,Hezouda,JEP Hezouda,S/C BP 27,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9912593656143757 8.312774383461154)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba6,Centrale,Blitta,Blitta 1,Blitta,Campement,JEP Blitta Campement,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9793617653923119 8.31549157393837)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba5,Centrale,Blitta,Blitta 1,Blitta,Solim,JEP Blitta Centrale Ga,90907246,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9781570256603531 8.325773006416304)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba4,Centrale,Blitta,Blitta 1,Blitta,Solim,JEP Blitta Centrale Gb,90907246,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9781379027949711 8.325760452416464)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba3,Centrale,Blitta,Blitta 1,Blitta,Beheside,JEP Kpawa 2,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9221868808754075 8.371613547879097)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba2,Centrale,Blitta,Blitta 1,Blitta,Kpawa,JEP Kpawa Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9390760054165993 8.365163511952368)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba1,Centrale,Blitta,Blitta 1,Blitta,Lama-kaza pm p,JEP Lama-kaza,BP 29 Inspection,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9960483685998381 8.333041047695563)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ba0,Centrale,Blitta,Blitta 1,Blitta,Blitta-nere,JEP Blitta-nere,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Nsp,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9846622763102754 8.320330079086704)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9f,Centrale,Blitta,Blitta 1,Blitta,Kpawa,JEP Kpawa Gb,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9498347138772768 8.364680473413165)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9e,Centrale,Blitta,Blitta 1,Blitta,Depot,JEC Blitta - Gare,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9819281326525054 8.327177801323515)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9d,Centrale,Blitta,Blitta 1,Yaloumbè,Tcharkpingue,JEP Yaloumbe Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.0808722729753808 8.30542389908613)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9c,Centrale,Blitta,Blitta 1,Yaloumbè,Defale - zongo,JEP Defale Zongo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.0871866681919629 8.298841756483478)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9b,Centrale,Blitta,Blitta 1,Yaloumbè,Zongo,JEP Yaloumbe Zongo,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.0765521807682066 8.313448131533047)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b9a,Centrale,Blitta,Blitta 1,Yaloumbè,Morode,JEP Defale,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1033153135032634 8.285127879944515)
