FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2027,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,Chiyime,JEP Chiyime,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Moyen-Mono,Non,MEPSTA,POINT (1.5710239039057021 7.304690127718366)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2026,Savanes,Tône,Tône 2,Naki-Ouest,Yobre,JEP Yobre,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tône-Ouest,Non,MEPSTA,POINT (0.1006554644859302 10.963846066673492)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2025,Kara,Dankpen,Dankpen 1,Koulféikou,Tchagloubi,JEP Koulfiekou Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Dankpen,Non,MEPSTA,POINT (0.4054737940316365 9.981725565045924)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2024,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Gbomame,JEL Emilienne,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Lomé-Ouest,Non,MEPSTA,POINT (1.1310444939441664 6.209887760564237)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2023,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin elavagnon,JEP Cgge,O1 BP 2309,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Lomé-Centre,Non,MEPSTA,POINT (1.2253120687375645 6.151595600862142)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2022,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,CS Le Faucon Jardin,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Nsp,IEPP Agoè-Nyivé-Ouest,Non,MEPSTA,POINT (1.1839255136151492 6.240870472461077)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2021,Kara,Kozah,Kozah 3,Awandjélo,Kpalassi,JEP Kpalassi,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kozah-Sud,Non,MEPSTA,POINT (1.2298041287815165 9.450180346193523)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2020,Savanes,Tône,Tône 2,Namaré,Namare,JEP Namare,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Cinkassé,Non,MEPSTA,POINT (0.088105560495946 10.990916035979136)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201f,Maritime,Golfe,Golfe 3,Bè-Ouest,Above,JEL Le Roseau,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Lomé-Centre,Non,MEPSTA,POINT (1.207094609094439 6.162821980610727)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201e,Plateaux,Ogou,Ogou 3,Gléi,Adanka,CEPE Adanka,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Ogou,Non,MEPSTA,POINT (1.164549777188574 7.243793080236336)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201d,Kara,Doufelgou,Doufelgou 3,Alloum,Kpasside,JEP Kpasside,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Doufelgou,Non,MEPSTA,POINT (0.9606002289211393 9.726567412721979)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201c,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Dadjouare,JEP Dadjouare,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tandjoaré,Non,MEPSTA,POINT (0.0134883333333338 10.732886666666614)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201b,Kara,Binah,Binah 1,Solla,N gnenekoi,JEP N Gnenekoi,BP 83,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Binah,Non,MEPSTA,POINT (1.3612536625701406 9.926454687840382)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201a,Kara,Binah,Binah 1,Solla,Koukole,JEP Koukole,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Binah,Non,MEPSTA,POINT (1.3620841681364992 9.973358178043993)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2019,Kara,Binah,Binah 1,Boufalé,Banware,JEP Banware,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Binah,Non,MEPSTA,POINT (1.3599174318266793 9.85541506197912)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2018,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,CS Le Sauveur Maternelle,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Agoè-Nyivé-Ouest,Non,MEPSTA,POINT (1.1765615781596965 6.250138045579759)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2017,Plateaux,Kloto,Kloto 1,Womé,Fiomaketodzi,JEP Fiomaketodzi,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kloto-Ouest,Non,MEPSTA,POINT (0.5444265379075722 6.868681031582762)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2016,Centrale,Blitta,Blitta 2,Langabou,Gbegue,JEP Gbegue,91071139,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1361129532713818 8.140814729697807)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2015,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Senoukope,CPL Rego JE,B.P 20849,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Prive - individuel,IEPP Agoè-Nyivé-Ouest,Oui,MEPSTA,POINT (1.1562552435386493 6.2776193712980755)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2014,Maritime,Yoto,Yoto 1,Kini-Kondji,Awoute kondji,JEP Awoute Kondji,BP20,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.5364427645530045 6.603336430233362)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2013,Maritime,Yoto,Yoto 1,Kini-Kondji,Kini kondji,JEP Kini Kondji,Non,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Oui,MEPSTA,POINT (1.541244383096546 6.605926312060422)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2012,Maritime,Yoto,Yoto 3,Gboto,Zeve,JEP Gboto-zeve,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Yoto-Est,Non,MEPSTA,POINT (1.4783764151897762 6.704399244040146)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2011,Maritime,Yoto,Yoto 2,Tchékpo,Deve,JEP Tchekpo Deve,BP40 AHEPE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3692289768516122 6.481172169076225)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2010,Maritime,Yoto,Yoto 2,Tchékpo,Tchekpo dedekpoe,JEP Tchekpo Dedekpoe 5,Bp 40 Ahepe,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3628153020830016 6.528747227054698)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200f,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe,JEP Tchekpo Dedekpoe,Néant,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3590214286077045 6.533480856851186)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200e,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe,JEP Tchekpo Dedekpoe 2,BP40 AHEPE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.363020419262578 6.540251967499748)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200d,Maritime,Yoto,Yoto 2,Tchékpo,Esse zogbedji,JEP Esse Zogbedji,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3326876796085478 6.583104947074305)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200c,Maritime,Yoto,Yoto 2,Tchékpo,Esse nadje,JEP Esse Nadje,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.346660568886974 6.584863876280717)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200b,Maritime,Yoto,Yoto 2,Zafi,Yoto kope,JEP Yoto Kope,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3146073082994496 6.739800582354761)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-200a,Maritime,Yoto,Yoto 2,Zafi,Hetchiavi,JEP Zafi,BP40 AHEPE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Yoto-Ouest,Non,MEPSTA,POINT (1.3768456006778829 6.626143221454134)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2009,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,CS Jean De La Fontaine JE,Nsp,Nsp,Jardin (maternelle),Nsp,IEPP Lomé-Centre,Nsp,,POINT (1.2143200734314576 6.158014442969498)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2008,Maritime,Yoto,Yoto 3,Gboto,Gboto assigame,JEP Gboto Assigame 1,S/C IEPP YOTO EST BP 20,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.5045883252675492 6.671663089601214)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2007,Maritime,Yoto,Yoto 3,Gboto,Gboto atchame,JEP Gboto Atchame,S/C IEPP YOTO EST BP 20,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.5271654293849646 6.676867076265228)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2006,Maritime,Yoto,Yoto 3,Gboto,Gboto vodoupe,JEP Gboto Vodoupe,S/C IEPP YOTO EST BP 20,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Oui,MEPSTA,POINT (1.5255979159811737 6.67393084096854)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2005,Maritime,Yoto,Yoto 3,Gboto,Gboto klohome,JEP Gboto Klohome,S/C IEPP YOTO EST BP 20,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.519514972574248 6.6693878780174485)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2004,Maritime,Yoto,Yoto 3,Tométy-Kondji,Dzrekpo zouvi,JEP Dzrekpo Zouvi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.5009229002825546 6.7884852955319435)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2003,Maritime,Yoto,Yoto 3,Tométy-Kondji,Dawohoe,JEP Dawohoe,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Yoto-Est,Non,MEPSTA,POINT (1.5420540499408988 6.774107907805013)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2002,Maritime,Zio,Zio 1,Abobo,Kleme,Jardin CS Le Prophete,BP 9162,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.2865731164393812 6.260907578047743)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2001,Maritime,Zio,Zio 1,Abobo,Aveta,JEP Aveta,90589829,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2879039757725066 6.275801912998936)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2000,Maritime,Zio,Zio 1,Abobo,Lowoe,EPC Lowoe,90934810/9960042,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2808343575711312 6.281451064928099)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fff,Maritime,Lacs,Lacs 3,Gbodjomé,Avoudjigbe,CS La Reference JE,S/C BP 97,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Lacs-Ouest,Non,MEPSTA,POINT (1.4144293477196648 6.206724736795967)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ffe,Maritime,Zio,Zio 1,Abobo,Kleme 1,Institut Scolaire Les Archanges JE,08BP80832,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.29146545927328 6.266200379890212)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ffd,Maritime,Zio,Zio 1,Abobo,Sagonou,JEP Sagonou,90688918,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3066081277390535 6.272992590788164)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ffc,Maritime,Zio,Zio 1,Abobo,Kleme 1,JEPL Hikima,91129887,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2892783333333335 6.26411166666665)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ffb,Maritime,Zio,Zio 1,Abobo,Yogon,EPL La Vertu JE,980900529,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.29796215024209 6.279633903720296)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ffa,Maritime,Zio,Zio 1,Abobo,Agove,CS Avenir Amitie Schollkrippen JE,03BP 30486,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.284599999999998 6.270899999999996)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff9,Maritime,Zio,Zio 1,Abobo,Zogbedji,JEPL La Plenitude,90552896,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2838739872205907 6.279529690704806)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff8,Maritime,Zio,Zio 1,Abobo,Atitegome,JEPL Yahveh,91538607,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2797730386379063 6.2895954337218525)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff7,Maritime,Zio,Zio 1,Abobo,Kleme,CS La Releve JE,93126261,"{Lundi,Mardi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2867564582827165 6.261327871061177)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff6,Maritime,Zio,Zio 1,Abobo,Kleme 2,Complexe Scolaire Victoire Plus JE,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.2943283722270242 6.256589642561891)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff5,Maritime,Zio,Zio 1,Abobo,Ketapui,JE CS Trone De Dieu,99845899,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Zio-Sud,Non,MEPSTA,POINT (1.30248935842328 6.251433629241453)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff4,Maritime,Zio,Zio 1,Abobo,Abolave,JEPL Les Anges Abolave,249.8993646,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.3010087706722888 6.246970735797299)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff3,Maritime,Zio,Zio 1,Abobo,Abolave,CS Alekam JE,92685237,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2987646596495308 6.240640681804695)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff2,Maritime,Zio,Zio 1,Abobo,Mokplaville,JEPL La Simplicite,BP61925,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.2963334746652797 6.249838617256331)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff1,Maritime,Zio,Zio 1,Abobo,Kinikope,JEE La Grace,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.291393333333333 6.254411666666644)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1ff0,Maritime,Zio,Zio 2,Mission-Tové,Tota,CS Tchakoura JE,90253990,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.13094913096985 6.315638773566476)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fef,Maritime,Zio,Zio 1,Abobo,Ablota,JEC Abobo,90263068,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3764727899693074 6.241663186758132)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fee,Maritime,Zio,Zio 1,Abobo,Ablota,JEP Abobo,91955652,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3746283270147843 6.240446178307986)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fed,Maritime,Zio,Zio 1,Abobo,Dekpo,JEP Dekpo,92551749,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3744204147064245 6.282183370746704)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fec,Maritime,Zio,Zio 1,Abobo,Nsp,JEP Abobo Kpoguede,92594994,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3752901907444484 6.246506430922445)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1feb,Maritime,Zio,Zio 1,Abobo,Nyamadzi,JEP Nyamadzi,91964777/97168131,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.3141312110913506 6.260694185115348)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fea,Maritime,Zio,Zio 1,Djagblé,Deve,EPL Lauriane Jardin d'enfants,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2833140358704784 6.253227138814947)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe9,Maritime,Zio,Zio 1,Abobo,Ketapui,JEP Ketapui,98094013,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3036683333333297 6.259073333333327)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe8,Maritime,Zio,Zio 1,Abobo,Lebe ameleki,JEP Lebe Ameleki,93448117,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.32287309773106 6.219277558106115)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe7,Maritime,Zio,Zio 1,Abobo,Kledome,JEP Lebe Centre,93786865,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.3497876485708427 6.219310111634085)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe6,Maritime,Zio,Zio 1,Abobo,Abolave,JEPL Les Benis,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.304114560067921 6.2456914263626135)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe5,Maritime,Zio,Zio 1,Abobo,Abolave,CS Saint Laurent JE,93202022,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.307314469363415 6.237313636708894)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe4,Maritime,Zio,Zio 1,Abobo,Abolave,JEPL La Cle Du Savoir,BP 4057,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.3068710106669716 6.243349783039196)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe3,Maritime,Zio,Zio 1,Abobo,Abolave,JEP Abolave,93690526,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Oui,MEPSTA,POINT (1.310583333333335 6.244709999999979)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe2,Maritime,Zio,Zio 1,Djagblé,Cite a,JEPE CS My Excellency,16BP 309,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2791788274553917 6.271637213943387)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe1,Maritime,Zio,Zio 1,Djagblé,Amelibome,CS Ulysse JE,16BP602,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2564511198428732 6.273942753668905)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fe0,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedzi,Cs Marie Antoinette Annexe Jel,Nsp,Nsp,Jardin (maternelle),Nsp,IEPP Lomé-Ouest,Nsp,,POINT (1.1746716099563872 6.196339965494181)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fdf,Maritime,Zio,Zio 1,Djagblé,Poukedji,EPL La Patience JE,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2738461985177507 6.265398080249412)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fde,Maritime,Zio,Zio 1,Djagblé,Gbamakope,EPC Gbamakope Jardin D'enfants,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2663872939617715 6.265247191962723)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fdd,Maritime,Zio,Zio 1,Djagblé,Cite a,Jardin d'enfants Institut Scolaire Bethel,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2784100932057219 6.269568413614213)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fdc,Plateaux,Kloto,Kloto 1,Womé,Apedome,JEP Klomayondi Gb,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kloto-Ouest,Non,MEPSTA,POINT (0.5512662068086047 6.839135100664239)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fdb,Maritime,Zio,Zio 1,Djagblé,Gbamakope,CS Evangelique Ekam JEsus Revient Jardin d'enfants,16BP 205,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2707944357320664 6.267316915388509)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1fda,Maritime,Zio,Zio 1,Djagblé,Gbamakope,JEPL Les Tenors,02BP 20594 Lomé,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Zio-Sud,Non,MEPSTA,POINT (1.2650373275205875 6.261754006641305)
