"region","classe","libelle_classe","ispe","rang","niveau_priorite","points_faibles","points_forts","z_faibles","z_forts","explication"
"Centrale",2,"Non classé (échelon régional)",28.9,5,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Jardins d'enfants pour 100 écoles primaires|Établissements pour 100 km²","Points de toilettes pour 100 établissements|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","-0.77|-0.63|-0.57","0.69|1.32|1.62","Centrale se situe au rang 5 sur 5 au niveau national avec un score ISPE de 28.9 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; jardins d'enfants pour 100 écoles primaires ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants."
"Kara",2,"Non classé (échelon régional)",69.3,1,"Très prioritaire","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Établissements pour 100 km²","Enseignants du préscolaire pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Établissements avec terrain de sport (%)","-1.66|-0.51|-0.46","0.32|0.98|1.2","Kara se situe au rang 1 sur 5 au niveau national avec un score ISPE de 69.3 (très prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : enseignants du préscolaire pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; établissements avec terrain de sport (%)."
"Maritime",3,"Non classé (échelon régional)",68.7,3,"À surveiller","Bâtiments recensés par établissement|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²","-1.46|-1.27|-1.13","0.56|1.71|1.78","Maritime se situe au rang 3 sur 5 au niveau national avec un score ISPE de 68.7 (à surveiller). Ce classement s'explique principalement par : bâtiments recensés par établissement ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%) ; établissements pour 100 km²."
"Plateaux",1,"Non classé (échelon régional)",69,2,"Prioritaire","Jardins d'enfants pour 100 écoles primaires|Points de toilettes pour 100 établissements|Enseignants du préscolaire pour 100 établissements","Établissements avec terrain de sport (%)|Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)","-1.43|-1.33|-0.68","0.2|0.79|0.95","Plateaux se situe au rang 2 sur 5 au niveau national avec un score ISPE de 69 (prioritaire). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; points de toilettes pour 100 établissements ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%)."
"Savanes",4,"Non classé (échelon régional)",30.8,4,"Modéré","Établissements avec terrain de sport (%)|Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Points de toilettes pour 100 établissements","-0.96|-0.63|-0.36","0.58|0.96|1.24","Savanes se situe au rang 4 sur 5 au niveau national avec un score ISPE de 30.8 (modéré). Ce classement s'explique principalement par : établissements avec terrain de sport (%) ; toilettes améliorées (wc / eau) (%) ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; points de toilettes pour 100 établissements."
