"region","nb_etab","nb_prescolaire","nb_primaire","nb_college","nb_lycee","pct_public","pct_terrain_sport","completude_offre","nb_creches","nb_toilettes","nb_batiments","nb_terrains_sport","nb_bibliotheques","pct_toilettes_ameliorees","pct_batiments_recents","toilettes_100_etab","batiments_par_etab","biblio_100_etab","jardins_100_primaires","enseignants_prescolaire","superficie_km2","densite_etab_100km2","ens_100_jardins","enseignants_100_etab"
"Centrale",1700,457,949,219,75,70.4,37.3,100,0,1345,3332,582,0,36.2,57.6,79.1,1.96,0,48.2,1236,13291,12.8,270.5,72.7
"Kara",1952,612,1034,216,90,69.9,41.8,100,0,1327,3488,741,0,45.4,51.4,68,1.79,0,59.2,1178,11492.4,17,192.5,60.3
"Maritime",6654,1805,3207,1252,390,28.2,22.9,100,33,4251,10423,952,0,66.4,57.3,63.9,1.57,0,56.3,2702,6331.3,105.1,149.7,40.6
"Plateaux",3339,846,1983,413,97,58.4,33.5,100,2,1742,6963,979,0,42.1,60.6,52.2,2.09,0,42.7,1600,17213.7,19.4,189.1,47.9
"Savanes",1809,557,992,204,56,72.7,23.9,100,0,1563,3849,454,0,37.9,59.3,86.4,2.13,0,56.1,1086,8585.6,21.1,195,60
